question,answer
Apa saja variasi metode pengomposan yang dilakukan masyarakat di berbagai kota?,"Masyarakat kita kreatif, lho! Untuk pengomposan, ada beberapa variasi metode yang dipakai, seperti metode aerob, metode cacing (vermikompos), dan metode konvensional."
Untuk apa biasanya kompos yang diproduksi oleh masyarakat digunakan?,"Kebanyakan kompos yang dibikin masyarakat itu dipakai buat kebutuhan sendiri, misalnya buat kebun atau tanaman di rumah, bukan buat dijual untuk pertanian atau perkebunan skala besar."
Jelaskan secara singkat metode pengomposan rumah tangga menggunakan drum atau bak bekas!,"Gampang kok! Siapin drum atau bak bekas yang atas bawahnya terbuka dan dasarnya nyentuh tanah. Masukin sampah baru, tutupin tanah, ulangi lagi buat sampah berikutnya. Terus, tutup bagian atasnya biar nggak kena hujan. Prosesnya butuh waktu sekitar 3 sampai 6 bulan."
Apa itu 'wadah pembuatan kompos' yang disebutkan sebagai alat lain untuk pengomposan rumah tangga?,Wadah pembuatan kompos itu semacam kotak yang punya lubang-lubang dan di dalamnya ada bakteri fermentasi. Alat ini bikin proses pengomposan jadi lebih bersih dan cepat.
Berapa kapasitas wadah pembuatan kompos yang disebutkan dan berapa banyak sampah rumah tangga yang bisa diprosesnya?,"Satu wadah pembuatan kompos itu kapasitasnya sekitar 50 sampai 60 liter. Cukup buat memproses sampah yang dihasilkan satu rumah tangga, lho!"
Apa hal terpenting dalam pemilihan wadah pembuatan kompos?,Yang paling penting pas milih wadah kompos itu adalah kemampuannya buat sirkulasi penyebaran udara. Ventilasi yang baik itu kunci!
Bagaimana cara memulai pengisian wadah pembuatan kompos?,"Pertama, isi setengah wadah dengan kompos yang udah matang atau serbuk gabah yang udah dicampur bakteri fermentasi. Ini buat starter-nya."
Apa yang harus dilakukan dengan sampah baru sebelum dimasukkan ke wadah kompos?,Sampah baru yang mau dimasukin ke wadah itu sebaiknya dicacah sekecil mungkin dulu. Ini biar proses pengomposannya lebih cepat.
Mengapa bagian atas wadah pengomposan harus ditutup dengan kain?,"Bagian atasnya ditutup kain biar ventilasinya tetap bagus, tapi serangga nggak bisa masuk. Jadi, komposnya aman dari tamu tak diundang."
Dimana sebaiknya wadah pembuatan kompos disimpan?,"Wadah kompos sebaiknya disimpan di dalam ruangan atau di bawah atap. Tujuannya biar nggak kena air hujan langsung, yang bisa ganggu prosesnya."
Bagaimana cara mengetahui tingkat kelembaban kompos yang sesuai?,"Gampang! Kalau kompos ditekan, nggak ada air yang netes (nggak terlalu basah). Terus, kalau diangkat, ada sisa sidik jari kita (nggak terlalu kering). Itu pas!"
Apa yang bisa ditambahkan jika kompos terlihat terlalu basah?,"Kalau komposnya kelihatan terlalu basah, kamu bisa tambahin remahan jagung atau serbuk gergajian buat menyerap kelebihan airnya."
